run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
24,24,XGBoost,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9138166894664843,14,3,40,3
24,24,XGBoost,TRAIN,0.899581589958159,0.8666666666666667,0.8227848101265823,0.8441558441558441,0.9596518987341772,65,10,150,14
25,25,XGBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.935704514363885,14,5,38,3
25,25,XGBoost,TRAIN,0.9079497907949791,0.88,0.8354430379746836,0.8571428571428571,0.9630537974683545,66,9,151,13
26,26,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9357045143638851,14,4,39,3
26,26,XGBoost,TRAIN,0.899581589958159,0.8571428571428571,0.8354430379746836,0.8461538461538461,0.9645569620253165,66,11,149,13
27,27,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9425444596443229,14,4,39,3
27,27,XGBoost,TRAIN,0.9246861924686193,0.8674698795180723,0.9113924050632911,0.8888888888888888,0.9749208860759494,72,11,149,7
28,28,XGBoost,TEST,0.9,0.8666666666666667,0.7647058823529411,0.8125,0.9042407660738714,13,2,41,4
28,28,XGBoost,TRAIN,0.9163179916317992,0.8933333333333333,0.8481012658227848,0.8701298701298701,0.9718354430379748,67,8,152,12
29,29,XGBoost,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9411764705882353,15,4,39,2
29,29,XGBoost,TRAIN,0.9205020920502092,0.875,0.8860759493670886,0.8805031446540881,0.9742879746835442,70,10,150,9
30,30,XGBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9357045143638851,14,5,38,3
30,30,XGBoost,TRAIN,0.9079497907949791,0.88,0.8354430379746836,0.8571428571428571,0.966376582278481,66,9,151,13
